file,vertical,client,name_on_portfolio_page,sheet_row,drive_file_id
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-maps-for-dermal-fillers-rosebery-keyword.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Maps for 'Dermal Fillers Rosebery' Keyword,43,1yK_sx0v1hJpMF7G03Q_4Kd4RxpRhil0k
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-castle-hill-cosmetic-clinic.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Castle Hill Cosmetic Clinic' Keyword,36,1gL4jICKbi2XqudMffzNGz8VkhfBPnaV6
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-cosmetic-injections-nowra-k.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Cosmetic Injections Nowra' Keyword,46,1OlYpfgDmvAi5N4OhcX4ryTVV56gyBAuf
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-lip-injections-crows-nest-k.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Lip Injections Crows Nest' Keyword,47,1_ke5ZJLSPOx0G-jB89Ew0gzle2kZa_o0
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-liposuction-hills-district.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Liposuction Hills District' Keyword,23,1Qi6O-YyDhMrPNtWNVXOTnelYg3ELkl_U
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-nowra-cosmetic-clinic-keywo.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Nowra Cosmetic Clinic' Keyword,32,17rI2XRCCBe6HFP57yPdrNwE1iQaq9q8F
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-2nd-on-google-search-for-cosmetic-clinic-sydney-keyword.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 2nd on Google Search for 'Cosmetic Clinic Sydney' Keyword,29,1FNwJ1An42WwaecS7SHlcDg7Avq6GtlF5
cosmetic-clinics/omd-combined-results/cosmetic-clinic-client-year-on-year-traffic-conversion-growth-2.webp,Cosmetic Clinics,/,Cosmetic Clinic Client Year on Year Traffic & Conversion Growth,184,1hT1pV6ZtTdXMYyYDAy_7YsYuQufiUa7C
cosmetic-clinics/omd-combined-results/cosmetic-clinic-client-year-on-year-traffic-conversion-growth-3.webp,Cosmetic Clinics,/,Cosmetic Clinic Client Year on Year Traffic & Conversion Growth,185,1auydVUPN2pPHAjKoGDawRNfryMayzZd9
cosmetic-clinics/omd-combined-results/cosmetic-clinic-client-year-on-year-traffic-conversion-growth-4.webp,Cosmetic Clinics,/,Cosmetic Clinic Client Year on Year Traffic & Conversion Growth,186,1yhI8lLOrAuOHq0QDLdSUG5BAY6Io0REq
cosmetic-clinics/omd-combined-results/cosmetic-clinic-client-year-on-year-traffic-conversion-growth.webp,Cosmetic Clinics,/,Cosmetic Clinic Client Year on Year Traffic & Conversion Growth,183,1nhHt7vGbbGv5qGLem4CXjE39W6uvZOOm
cosmetic-clinics/prophile-clinics/prophile-clinics-ranking-2nd-on-google-maps-for-cosmetic-clinic-gold-coast-keyword.webp,Cosmetic Clinics,Prophile Clinics,Prophile Clinics Ranking 2nd on Google Maps for 'Cosmetic Clinic Gold Coast' Keyword,151,130gYUdFH3FjPI2FphNt1ODFN5TShi8uk
cosmetic-clinics/prophile-clinics/prophile-clinics-ranking-3rd-on-google-maps-for-frown-lines-treatment-keyword.webp,Cosmetic Clinics,Prophile Clinics,Prophile Clinics Ranking 3rd on Google Maps for 'Frown Lines Treatment' Keyword,168,1esoY5r0K9wXppTy3EWk6ZEtN547EcF2U
cosmetic-clinics/prophile-clinics/prophile-clinics-ranking-on-google-search-for-the-keyword-tesla-chair-gold-coast.webp,Cosmetic Clinics,Prophile Clinics,Prophile Clinics Ranking on Google Search for the Keyword ' Tesla Chair Gold Coast',258,1O3nbqOLgu7p_vmkS1_EFmLDWV3Q-LQIo
cosmetic-clinics/prophile-clinics/prophile-clinics-ranks-2nd-on-google-search-results-for-the-exosomes-treatment-near-gold-coast.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Ranks 2nd on Google Search Results for the ""Exosomes Treatment Near Gold Coast"" Keyword",211,170G1eJZOj0_JUHn-k8XS8N8DiRQ3sMT7
cosmetic-clinics/prophile-clinics/prophile-clinics-ranks-on-google-maps-for-the-keyword-anti-wrinkle-treatment-near-gold-coast-ke.webp,Cosmetic Clinics,Prophile Clinics,"Prophile Clinics Ranks on Google Maps for the Keyword ""Anti Wrinkle Treatment Near Gold Coast"" Keyword",210,1DHKELqsz-2MRXPA3d_RCvSxPJKZkmNlz
